timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1677715200000,1665.23000000,1677.86000000,1619.18000000,1647.86000000,423023.80820000,1677801599999,694364877.50440800,644400,209908.34800000,344522660.65260200,0
1677801600000,1647.86000000,1649.25000000,1544.39000000,1569.45000000,742816.59760000,1677887999999,1166573996.74423600,1008133,356042.86570000,558918754.56633500,0
1677888000000,1569.45000000,1577.53000000,1549.12000000,1566.73000000,237640.26060000,1677974399999,371865636.79445600,442158,114523.63960000,179242456.92659000,0
1677974400000,1566.74000000,1588.77000000,1553.05000000,1564.58000000,299240.74150000,1678060799999,469729098.46273800,505034,146252.85710000,229586295.58138200,0
1678060800000,1564.57000000,1583.49000000,1554.44000000,1565.84000000,307709.30110000,1678147199999,482146763.96639700,495130,151429.26660000,237315661.18363600,0
1678147200000,1565.84000000,1584.49000000,1536.14000000,1561.96000000,437947.90320000,1678233599999,682865640.74441200,601157,222838.17140000,347497907.93612200,0
1678233600000,1561.95000000,1570.89000000,1523.61000000,1532.38000000,460101.76580000,1678319999999,714552395.99327900,647197,227125.84140000,352776402.72266000,0
1678320000000,1532.38000000,1546.45000000,1408.00000000,1437.32000000,718485.13640000,1678406399999,1072396877.90757800,914935,340420.81590000,508749569.09481200,0
1678406400000,1437.32000000,1439.43000000,1368.39000000,1426.44000000,960262.45090000,1678492799999,1353741388.82725900,1155209,462418.62320000,651918990.29194400,0
1678492800000,1426.43000000,1478.07000000,1408.40000000,1471.97000000,1374859.62010000,1678579199999,1987926852.34837400,1467256,674055.15040000,975054688.50936100,0
1678579200000,1471.93000000,1594.19000000,1448.30000000,1580.33000000,1002355.09290000,1678665599999,1506839740.46965400,1253899,507616.32810000,763938923.68304300,0
1678665600000,1580.33000000,1693.49000000,1565.00000000,1673.45000000,1228063.60530000,1678751999999,1992277884.79634100,1671283,631386.30580000,1024622574.37087000,0
1678752000000,1673.44000000,1780.02000000,1655.24000000,1699.40000000,1283321.23550000,1678838399999,2195733827.91012200,1750035,666065.68120000,1139199433.36359000,0
1678838400000,1699.41000000,1716.90000000,1611.00000000,1649.96000000,963142.48330000,1678924799999,1602460705.89569500,1388384,463785.20990000,771970600.26940200,0
1678924800000,1649.95000000,1691.42000000,1632.18000000,1673.73000000,627985.61190000,1679011199999,1040043241.14028500,1004406,325261.19930000,538689586.43263500,0
1679011200000,1673.73000000,1800.00000000,1662.65000000,1789.27000000,907528.28250000,1679097599999,1569265196.45290500,1293055,476255.49480000,824016896.56973400,0
1679097600000,1789.26000000,1841.00000000,1747.47000000,1758.84000000,711614.73100000,1679183999999,1280189359.42454900,1115890,353131.96710000,635373026.20256500,0
1679184000000,1758.84000000,1841.36000000,1757.92000000,1780.68000000,541131.89080000,1679270399999,972006261.58020900,919093,275030.17560000,494016367.25881900,0
1679270400000,1780.67000000,1803.05000000,1722.00000000,1732.78000000,682848.12480000,1679356799999,1205036446.95122100,1083767,346231.46580000,611012606.17270500,0
1679356800000,1732.77000000,1835.00000000,1717.01000000,1801.23000000,742348.49990000,1679443199999,1324018564.21103500,1166036,399394.24600000,712603682.26002500,0
1679443200000,1801.23000000,1819.98000000,1710.12000000,1734.33000000,891287.60090000,1679529599999,1581074700.20938000,1286030,432312.72670000,767322678.06559900,0
1679529600000,1734.34000000,1857.16000000,1729.35000000,1813.79000000,732061.10300000,1679615999999,1312199315.57750500,1074713,388644.19100000,697106769.81296200,0
1679616000000,1813.78000000,1818.99000000,1726.40000000,1749.57000000,564770.14170000,1679702399999,1001546184.53213500,855600,283157.34940000,502222091.71024700,0
1679702400000,1749.57000000,1763.23000000,1713.09000000,1741.88000000,355679.37430000,1679788799999,620341997.18351200,620651,174749.28340000,304837439.68175700,0
1679788800000,1741.88000000,1801.00000000,1739.31000000,1773.88000000,354933.23720000,1679875199999,627660488.27267000,592618,178518.26690000,315691892.31925400,0
1679875200000,1773.88000000,1780.48000000,1686.13000000,1715.22000000,570563.50230000,1679961599999,987197970.21984000,810253,274628.43020000,475175903.71022400,0
1679961600000,1715.21000000,1795.73000000,1701.13000000,1772.99000000,536511.39730000,1680047999999,935507384.14967800,766887,286377.21640000,499476096.82435700,0
1680048000000,1773.00000000,1827.99000000,1772.48000000,1793.07000000,536865.59720000,1680134399999,967342311.08223400,810500,283946.54590000,511607922.31168300,0
1680134400000,1793.06000000,1829.69000000,1763.00000000,1793.61000000,579690.03940000,1680220799999,1039397383.78040000,876484,299825.65610000,537640857.62762200,0
1680220800000,1793.60000000,1847.28000000,1777.91000000,1821.52000000,554525.47620000,1680307199999,1006896937.02525400,902956,289189.75500000,525237162.94212700,0
1680307200000,1821.52000000,1842.83000000,1807.81000000,1820.79000000,272904.96740000,1680393599999,497460628.07619100,579259,138942.81390000,253278130.99517100,0
1680393600000,1820.80000000,1824.81000000,1771.70000000,1794.51000000,322122.93850000,1680479999999,580909276.16417100,637705,162593.22360000,293256522.06304200,0
1680480000000,1794.51000000,1839.99000000,1762.77000000,1810.51000000,628503.66190000,1680566399999,1131436800.43707300,1098681,318256.91810000,573104096.04297000,0
1680566400000,1810.51000000,1891.91000000,1802.01000000,1870.37000000,622208.64110000,1680652799999,1151551698.65326800,1087425,324318.04740000,599946499.35902300,0
1680652800000,1870.38000000,1942.98000000,1864.58000000,1908.69000000,548595.51550000,1680739199999,1045846831.79156300,1077031,281338.72500000,536320635.93476500,0
1680739200000,1908.68000000,1909.91000000,1853.70000000,1872.41000000,396241.43520000,1680825599999,743618300.02400000,916688,190334.89780000,357167485.35243600,0
1680825600000,1872.41000000,1882.61000000,1841.46000000,1863.72000000,284256.48730000,1680911999999,528718750.37856600,829061,143802.12850000,267474497.28292800,0
1680912000000,1863.73000000,1879.38000000,1847.00000000,1848.82000000,197905.54070000,1680998399999,368792680.92965800,902787,97213.28820000,181198387.33443300,0
1680998400000,1848.82000000,1873.99000000,1824.01000000,1858.92000000,287131.30790000,1681084799999,529878494.84037300,953458,146393.82950000,270125898.84310500,0
1681084800000,1858.91000000,1918.79000000,1846.40000000,1910.20000000,434739.79840000,1681171199999,816212712.86294700,586284,218877.85860000,410947350.79718000,0
1681171200000,1910.21000000,1937.37000000,1881.11000000,1889.86000000,405203.48920000,1681257599999,774389695.84593200,590527,209441.71720000,400266668.51136100,0
1681257600000,1889.86000000,1933.00000000,1852.65000000,1917.39000000,630844.41860000,1681343999999,1195663632.07873200,801456,318566.11280000,603818547.58289400,0
1681344000000,1917.40000000,2023.00000000,1899.55000000,2012.01000000,676164.51880000,1681430399999,1333377092.12459100,911569,358627.74440000,706952043.88310200,0
1681430400000,2012.00000000,2128.76000000,2009.22000000,2099.99000000,896307.39340000,1681516799999,1877719501.12373200,1182309,463960.15560000,971826170.99483100,0
1681516800000,2099.99000000,2111.85000000,2071.13000000,2090.60000000,321823.78510000,1681603199999,674260851.49151000,505299,159120.98000000,333402759.03928600,0
1681603200000,2090.61000000,2141.54000000,2072.72000000,2118.67000000,319880.43930000,1681689599999,673034613.41583500,529231,162518.13280000,341954921.31303200,0
1681689600000,2118.66000000,2120.51000000,2056.25000000,2074.00000000,426972.70710000,1681775999999,889433328.78650800,674817,206218.47990000,429616895.54751100,0
1681776000000,2073.99000000,2125.00000000,2051.00000000,2103.50000000,414244.61350000,1681862399999,867291463.56982800,636801,205943.01880000,431182409.02291400,0
1681862400000,2103.51000000,2104.60000000,1923.03000000,1933.73000000,775389.06020000,1681948799999,1547934187.85902000,1116849,381226.96410000,760478525.51605500,0
1681948800000,1933.74000000,1982.99000000,1914.43000000,1942.98000000,625336.24950000,1682035199999,1218184973.29939600,869619,307551.80710000,598986977.59446400,0
1682035200000,1942.98000000,1957.27000000,1825.00000000,1848.78000000,688876.61860000,1682121599999,1306179482.09194200,868887,339964.18250000,644708261.74439500,0
1682121600000,1848.77000000,1887.31000000,1841.64000000,1874.16000000,331007.58790000,1682207999999,616579601.31176500,451499,168125.14090000,313147831.35700900,0
