open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
29505.60000000,29820.00000000,28300.00000000,28848.20000000,49249.28459000,1429517892.78050220,1221021,23315.95073000,676717267.01172240
28848.19000000,29138.29000000,28395.23000000,28430.10000000,30003.41028000,865838535.32638210,855425,14904.01102000,430162358.62942520
28430.09000000,28631.01000000,27262.00000000,27668.79000000,68244.36179000,1903052694.66841270,1600637,32347.56935000,901988104.11036000
27668.80000000,27818.00000000,27353.00000000,27628.27000000,40113.31069000,1106923908.30584690,1003698,20094.09737000,554561922.80537130
27628.28000000,28331.42000000,26777.00000000,27598.75000000,71155.11355000,1971173412.43550200,1534579,34398.83676000,953153016.50961890
27598.74000000,27630.14000000,26702.05000000,26968.62000000,47635.31365000,1295799109.01100400,1257000,23270.11723000,632925807.49257740
26968.61000000,27091.12000000,25811.46000000,26795.01000000,67207.93494000,1777052127.73109300,1351633,33147.27251000,876487224.25504230
26795.01000000,27045.45000000,26692.03000000,26775.28000000,22814.90421000,612062852.08668820,605049,10959.29947000,294038915.03262630
26775.27000000,27200.00000000,26560.53000000,26917.62000000,21594.80360000,580801698.00026930,629537,10672.14983000,287060095.33152760
26917.61000000,27663.59000000,26726.00000000,27162.14000000,40430.08333000,1104633264.13157390,935914,19301.24631000,527237637.33101340
27162.15000000,27296.89000000,26852.11000000,27033.84000000,33270.45451000,900273404.60103310,815642,15970.99932000,432214355.05613440
27033.85000000,27500.00000000,26544.71000000,27405.61000000,42958.97785000,1159714527.63526350,1016823,21634.02212000,584185553.79130670
27405.62000000,27485.33000000,26361.20000000,26821.28000000,49198.65143000,1330745572.69463720,1057318,23659.89374000,640128055.90684370
26821.28000000,27183.60000000,26630.00000000,26880.26000000,28754.13544000,772864757.16330480,756295,13622.24812000,366169697.38708070
26880.26000000,27150.00000000,26825.11000000,27102.43000000,14434.54718000,389225653.74516690,481382,6769.94368000,182562924.63416340
27102.42000000,27277.55000000,26666.03000000,26747.78000000,21347.87279000,575213570.27944220,568937,9855.43959000,265526847.33206750
26747.78000000,27099.89000000,26538.21000000,26849.27000000,26458.83828000,709594996.72427440,717111,12639.67925000,338982776.45968190
26849.28000000,27495.83000000,26798.11000000,27219.61000000,38700.83858000,1054565781.60237520,816399,18966.20117000,516737777.26524950
27219.61000000,27219.61000000,26080.50000000,26329.01000000,54393.06570000,1442636235.45435520,1012767,26698.91191000,707870181.81634380
26329.00000000,26631.98000000,25871.89000000,26473.79000000,37435.44895000,984117789.70176120,753125,17773.08882000,467287939.93959180
26473.80000000,26932.16000000,26327.24000000,26705.92000000,35061.18713000,932817724.59401000,655755,16507.37461000,439209106.74467190
26705.93000000,26895.00000000,26551.00000000,26854.27000000,15095.68670000,403337263.03449080,415694,7152.30076000,191116596.77267230
26854.28000000,28261.32000000,26764.36000000,28065.00000000,43916.00855000,1205762341.97049520,843861,23346.55866000,640869473.60044430
28065.01000000,28447.14000000,27524.60000000,27736.40000000,42385.41945000,1182678581.63466910,805579,20199.85331000,563722083.65919410
