open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,close_to_open,target
2118.66,2120.51,2056.25,2074.0,426972.7071,889433328.786508,674817,206218.4799,429616895.54751104,64.26000000000022,-44.659999999999854,2103.5
2073.99,2125.0,2051.0,2103.5,414244.6135,867291463.569828,636801,205943.0188,431182409.022914,74.0,29.51000000000022,1933.73
2103.51,2104.6,1923.03,1933.73,775389.0602,1547934187.85902,1116849,381226.9641,760478525.516055,181.56999999999994,-169.7800000000002,1942.98
1933.74,1982.99,1914.43,1942.98,625336.2495,1218184973.299396,869619,307551.8071,598986977.594464,68.55999999999995,9.240000000000009,1848.78
1942.98,1957.27,1825.0,1848.78,688876.6186,1306179482.091942,868887,339964.1825,644708261.744395,132.26999999999998,-94.20000000000005,1874.16
1848.77,1887.31,1841.64,1874.16,331007.5879,616579601.311765,451499,168125.1409,313147831.357009,45.669999999999845,25.3900000000001,1862.0
1874.17,1882.01,1836.37,1862.0,344514.3444,641362428.689366,463928,180537.4201,336129438.631238,45.6400000000001,-12.170000000000073,1841.84
1862.01,1890.0,1806.0,1841.84,447864.0517,826968889.241232,682824,216968.9613,400599962.395403,84.0,-20.170000000000073,1866.1
1841.84,1877.86,1801.66,1866.1,457870.6047,839226421.3782461,631766,238370.8971,436940670.14806306,76.19999999999982,24.25999999999999,1866.01
1866.1,1964.72,1785.0,1866.01,897709.7298,1695903568.960903,1182620,445589.9861,842104509.424001,179.72000000000003,-0.08999999999991815,1908.68
1866.01,1940.96,1861.19,1908.68,727472.9466,1383094120.67767,959609,378523.2934,719109759.957455,79.76999999999998,42.67000000000007,1890.94
1908.68,1923.88,1873.94,1890.94,387630.7791,736203306.614156,574483,201390.0556,382298834.01980895,49.940000000000055,-17.74000000000001,1907.8
1890.93,1918.0,1883.05,1907.8,182046.1406,346028241.295737,335962,90910.2544,172785540.85637,34.950000000000045,16.86999999999989,1870.09
1907.79,1939.0,1866.16,1870.09,355336.4888,677913240.814662,552933,176787.4337,337334018.002625,72.83999999999992,-37.700000000000045,1830.73
1870.08,1886.49,1806.12,1830.73,445519.1779,818821593.694849,647788,220514.8113,405281273.929108,80.37000000000012,-39.34999999999991,1870.08
1830.73,1881.87,1822.94,1870.08,373753.2027,690907892.110455,563768,184439.1031,340877324.218158,58.929999999999836,39.34999999999991,1905.12
1870.09,1916.52,1842.64,1905.12,465185.2501,871222153.959792,751579,239749.0806,449104177.864072,73.87999999999988,35.02999999999997,1877.07
1905.12,1918.26,1866.71,1877.07,354528.6144,670584503.6596191,525802,172127.9509,325526383.589932,51.549999999999955,-28.049999999999955,1993.3
1877.07,1998.36,1875.65,1993.3,546608.875,1061183389.068112,803612,281818.2188,546945491.993123,122.70999999999981,116.23000000000002,1896.33
1993.3,2019.0,1860.0,1896.33,608106.9915,1169939393.312777,868626,309602.2227,595756528.400797,159.0,-96.97000000000003,1870.4
1896.33,1933.33,1867.59,1870.4,413268.8357,787566158.198456,625667,198046.1876,377209171.37210494,65.74000000000001,-25.929999999999836,1847.56
1870.41,1883.97,1810.73,1847.56,625316.6168,1157603209.761854,885693,308193.8507,570302849.746665,73.24000000000001,-22.850000000000136,1846.52
1847.55,1861.88,1830.99,1846.52,304396.186,561440259.790895,517737,154195.2071,284409845.645079,30.8900000000001,-1.0299999999999727,1840.84
1846.53,1887.47,1790.51,1840.84,639933.3855,1182254717.032215,802140,315762.3953,583244341.867981,96.96000000000004,-5.690000000000055,1794.3
1840.83,1842.02,1772.68,1794.3,522096.0725,944525427.0279421,679625,256341.5035,463715175.204272,69.33999999999992,-46.52999999999997,1807.45
1794.31,1818.63,1740.0,1807.45,565539.8309,1002104362.594411,696930,272766.5815,483569848.957916,78.63000000000011,13.1400000000001,1795.11
